Treino,Média
2012-2013_treino_140.csv_128-1,0.59
2012-2013_treino_141.csv_128-1,0.59
2012-2013_treino_142.csv_128-1,0.59
2012-2013_treino_143.csv_128-1,0.58
2012-2013_treino_144.csv_128-1,0.58
2012-2013_treino_145.csv_128-1,0.59
2012-2013_treino_146.csv_128-1,0.59
2012-2013_treino_147.csv_128-1,0.59
2012-2013_treino_148.csv_128-1,0.59
2012-2013_treino_149.csv_128-1,0.59
2012-2013_treino_150.csv_128-1,0.59
2012-2013_treino_151.csv_128-1,0.59
2012-2013_treino_152.csv_128-1,0.59
2012-2013_treino_153.csv_128-1,0.59
2012-2013_treino_154.csv_128-1,0.59
2012-2013_treino_155.csv_128-1,0.60
2012-2013_treino_156.csv_128-1,0.59
2012-2013_treino_157.csv_128-1,0.59
2012-2013_treino_158.csv_128-1,0.59
2012-2013_treino_159.csv_128-1,0.58
2012-2013_treino_160.csv_128-1,0.58
2012-2013_treino_161.csv_128-1,0.59
2012-2013_treino_162.csv_128-1,0.59
2012-2013_treino_163.csv_128-1,0.59
2012-2013_treino_164.csv_128-1,0.59
2012-2013_treino_165.csv_128-1,0.59
2012-2013_treino_166.csv_128-1,0.59
2012-2013_treino_167.csv_128-1,0.58
2012-2013_treino_168.csv_128-1,0.58
2012-2013_treino_169.csv_128-1,0.58
2012-2013_treino_170.csv_128-1,0.58
2012-2013_treino_171.csv_128-1,0.58
2012-2013_treino_172.csv_128-1,0.59
2012-2013_treino_173.csv_128-1,0.59
2012-2013_treino_174.csv_128-1,0.59
2012-2013_treino_175.csv_128-1,0.59
2012-2013_treino_176.csv_128-1,0.59
2012-2013_treino_177.csv_128-1,0.58
2012-2013_treino_178.csv_128-1,0.59
2012-2013_treino_179.csv_128-1,0.59
2012-2013_treino_180.csv_128-1,0.59
2012-2013_treino_181.csv_128-1,0.58
2012-2013_treino_182.csv_128-1,0.59
2012-2013_treino_183.csv_128-1,0.59
2012-2013_treino_184.csv_128-1,0.59
2012-2013_treino_185.csv_128-1,0.59
2012-2013_treino_186.csv_128-1,0.60
2012-2013_treino_187.csv_128-1,0.61
2012-2013_treino_188.csv_128-1,0.62
2012-2013_treino_189.csv_128-1,0.62
2012-2013_treino_190.csv_128-1,0.62
